,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2529,62083052,600223.XSHG,15.0195,,2.8644,0.8332,7.9078,100883.0938,85.9524,100883.0938,85.9524,2021-01-01,24.9493
2530,62083294,600225.XSHG,-1.1571,,-9.0887,1.1712,31.6858,93549.2578,12.7227,93292.3672,12.6878,2021-01-01,-1.3946
2531,62085179,600226.XSHG,-7.7979,,1.4569999999999999,8.9227,-268.9111,312901.25,54.4448,244990.8125,42.6284,2021-01-01,-8.09
2532,62083246,600227.XSHG,837.1663,,1.4787,2.6274,-56.1015,169313.4219,47.4078,127817.9531,35.789,2021-01-01,-2.7728
2533,62085664,600228.XSHG,-459.8136,,51.9945,7.55,-1010.1268,24132.0,26.6176,24132.0,26.6176,2021-01-01,-470.0708
2534,62085328,600229.XSHG,13.828,,1.649,2.1345,24.3071,70209.6016,47.3213,70209.6016,47.3213,2021-01-01,12.6345
2535,62083501,600230.XSHG,-21.4507,,1.1122,2.3787,-8.0891,41186.3516,37.4384,41186.3516,37.4384,2021-01-01,81.6674
2536,62082867,600231.XSHG,16.304000000000002,,0.8644,0.3538,5.0948,277108.2812,69.5542,277108.2812,69.5542,2021-01-01,16.2624
2537,62086125,600232.XSHG,46.1804,,1.8821,1.871,25.1582,36471.8555,20.2784,36471.8555,20.2784,2021-01-01,78.9348
2538,62082779,600233.XSHG,21.6658,,2.1848,1.1027,79.0272,315983.0625,363.3805,315764.4375,363.1291,2021-01-01,21.7893
2539,62086292,600234.XSHG,50.8755,,18.4615,3.0902,37.4066,20244.5879,18.9894,20244.5879,18.9894,2021-01-01,112.43
2540,62084114,600235.XSHG,34.1208,,1.307,1.3356,312.061,35130.0,17.5299,35130.0,17.5299,2021-01-01,136.9803
2541,62086432,600236.XSHG,18.6839,,2.3944,4.1304,-53.1637,788237.75,351.55400000000003,788237.75,351.55400000000003,2021-01-01,16.6303
2542,62084872,600237.XSHG,-20.1119,,2.3155,3.0505,41.4969,56436.957,25.5095,56436.957,25.5095,2021-01-01,-16.6871
2543,62086327,600238.XSHG,-16.6353,,7.8799,7.575,-232.7849,44820.0,39.083,44500.1562,38.8041,2021-01-01,-14.6016
2544,62084769,600239.XSHG,-1.411,,3.3476,0.7617,-5.4485,160568.6875,38.8576,160568.6875,38.8576,2021-01-01,-1.3987
2545,62086260,600241.XSHG,-3.4032,,0.9646,1.8792,-19.9364,29430.2109,9.4765,29430.2109,9.4765,2021-01-01,-3.4079
2546,62085899,600242.XSHG,-0.7129,,2.184,1.7784,14.3965,45666.5117,11.370999999999999,45129.4531,11.2372,2021-01-01,-0.7249
2547,62084243,600243.XSHG,-3.6917,,1.0827,1.8267,20.8351,43885.0,12.2,43885.0,12.2,2021-01-01,-2.9174
2548,62084180,600246.XSHG,34.8611,,1.9971,10.0581,-58.5169,205400.9375,143.1644,205400.9375,143.1644,2021-01-01,23.6721
2549,62086343,600247.XSHG,-4.4233,,-3.5401,28.8651,426.7362,33644.1602,3.9027,33644.1602,3.9027,2021-01-01,-4.6085
2550,62086084,600248.XSHG,130.8843,,1.2576,1.9658,105.5894,314798.1875,144.4924,65668.4062,30.1418,2021-01-01,48.8659
2551,62083765,600249.XSHG,3127.1608,,1.2229999999999999,3.2843,6.0434,55000.0,26.07,55000.0,26.07,2021-01-01,-48.4524
2552,62085334,600250.XSHG,12.6415,,1.574,2.0799,14.6353,31059.3887,16.6789,27003.7539,14.501,2021-01-01,15.3577
2553,62085567,600251.XSHG,23.1469,,2.3958,2.0219,34.5485,78484.2031,57.6859,77746.2031,57.1435,2021-01-01,33.9943
2554,62082862,600252.XSHG,17.9002,,1.6030000000000002,2.6751,14.2282,347510.7188,106.6858,347510.7188,106.6858,2021-01-01,14.3212
